"","year","state","freq"
"1",2013,"Alabama",2
"2",2013,"Arizona",5
"3",2013,"California",39
"4",2013,"Colorado",3
"5",2013,"Connecticut",3
"6",2013,"Delaware",3
"7",2013,"District of Columbia",6
"8",2013,"Florida",13
"9",2013,"Georgia",6
"10",2013,"Illinois",18
"11",2013,"Indiana",7
"12",2013,"Kansas",4
"13",2013,"Kentucky",3
"14",2013,"Louisiana",9
"15",2013,"Maryland",5
"16",2013,"Michigan",14
"17",2013,"Minnesota",2
"18",2013,"Mississippi",2
"19",2013,"Missouri",10
"20",2013,"Nebraska",1
"21",2013,"Nevada",1
"22",2013,"New Jersey",14
"23",2013,"New Mexico",2
"24",2013,"New York",16
"25",2013,"North Carolina",12
"26",2013,"Ohio",10
"27",2013,"Oklahoma",6
"28",2013,"Pennsylvania",20
"29",2013,"Rhode Island",2
"30",2013,"South Carolina",5
"31",2013,"Tennessee",10
"32",2013,"Texas",11
"33",2013,"Utah",1
"34",2013,"Virginia",6
"35",2013,"Washington",4
"36",2013,"West Virginia",2
"37",2013,"Wisconsin",1
"38",2014,"Alabama",1318
"39",2014,"Alaska",146
"40",2014,"Arizona",556
"41",2014,"Arkansas",572
"42",2014,"California",3732
"43",2014,"Colorado",556
"44",2014,"Connecticut",583
"45",2014,"Delaware",493
"46",2014,"District of Columbia",838
"47",2014,"Florida",3138
"48",2014,"Georgia",2032
"49",2014,"Hawaii",48
"50",2014,"Idaho",115
"51",2014,"Illinois",3095
"52",2014,"Indiana",1203
"53",2014,"Iowa",569
"54",2014,"Kansas",381
"55",2014,"Kentucky",977
"56",2014,"Louisiana",1906
"57",2014,"Maine",183
"58",2014,"Maryland",1266
"59",2014,"Massachusetts",968
"60",2014,"Michigan",1447
"61",2014,"Minnesota",450
"62",2014,"Mississippi",784
"63",2014,"Missouri",1272
"64",2014,"Montana",128
"65",2014,"Nebraska",347
"66",2014,"Nevada",376
"67",2014,"New Hampshire",230
"68",2014,"New Jersey",1521
"69",2014,"New Mexico",320
"70",2014,"New York",1903
"71",2014,"North Carolina",2165
