state,py_2013,py_2014,py_2015,py_2016,py_2017,py_2018
Alabama,4827660,4840037,4850858,4860545,4874747,4874747
Alaska,736760,736759,737979,741522,739795,739795
Arizona,6616124,6706435,6802262,6908642,7016270,7016270
Arkansas,2956780,2964800,2975626,2988231,3004279,3004279
California,38347383,38701278,39032444,39296476,39536653,39536653
Colorado,5262556,5342311,5440445,5530105,5607154,5607154
Connecticut,3602470,3600188,3593862,3587685,3588184,3588184
Delaware,925114,934805,944107,952698,961939,961939
District of Columbia,650114,660797,672736,684336,693972,693972
Florida,19584927,19897747,20268567,20656589,20984400,20984400
Georgia,9981773,10083850,10199533,10313620,10429379,10429379
Hawaii,1408038,1417710,1426320,1428683,1427538,1427538
Idaho,1610187,1630391,1649324,1680026,1716943,1716943
Illinois,12890403,12882438,12862051,12835726,12802023,12802023
Indiana,6567484,6593182,6610596,6634007,6666818,6666818
Iowa,3089876,3105563,3118473,3130869,3145711,3145711
Kansas,2892900,2899553,2905789,2907731,2913123,2913123
Kentucky,4399121,4410415,4422057,4436113,4454189,4454189
Louisiana,4626795,4648797,4671211,4686157,4684333,4684333
Maine,1327975,1328903,1327787,1330232,1335907,1335907
Maryland,5932654,5970245,6000561,6024752,6052177,6052177
Massachusetts,6711138,6757925,6794002,6823721,6859819,6859819
Michigan,9899219,9914675,9918170,9933445,9962311,9962311
Minnesota,5416074,5452649,5483238,5525050,5576606,5576606
Mississippi,2987721,2988578,2985297,2985415,2984100,2984100
Missouri,6041142,6058014,6072640,6091176,6113532,6113532
Montana,1011921,1019931,1028317,1038656,1050493,1050493
Nebraska,1867414,1880920,1893564,1907603,1920076,1920076
Nevada,2786547,2831730,2883057,2939254,2998039,2998039
New Hampshire,1322622,1328684,1330134,1335015,1342795,1342795
New Jersey,8913735,8943010,8960001,8978416,9005644,9005644
New Mexico,2085161,2083207,2082264,2085432,2088070,2088070
New York,19712514,19773580,19819347,19836286,19849399,19849399
North Carolina,9849812,9941160,10041769,10156689,10273419,10273419
North Dakota,722908,738658,754859,755548,755393,755393
Ohio,11567845,11593741,11606027,11622554,11658609,11658609
Oklahoma,3849840,3875008,3904353,3921207,3930864,3930864
Oregon,3919664,3960673,4016537,4085989,4142776,4142776
Pennsylvania,12778450,12790341,12791124,12787085,12805537,12805537
Rhode Island,1052784,1054782,1055916,1057566,1059639,1059639
South Carolina,4765862,4824758,4892423,4959822,5024369,5024369
South Dakota,842513,849455,854036,861542,869666,869666
Tennessee,6490795,6540007,6590726,6649404,6715984,6715984
Texas,26479279,26954436,27454880,27904862,28304596,28304596
Utah,2899961,2938671,2984917,3044321,3101833,3101833
Vermont,626044,625665,624455,623354,623657,623657
Virginia,8261689,8316902,8366767,8414380,8470020,8470020
Washington,6963410,7046931,7152818,7280934,7405743,7405743
West Virginia,1852333,1847624,1839767,1828637,1815857,1815857
Wisconsin,5736673,5751272,5759744,5772917,5795483,5795483
Wyoming,582341,583334,586102,584910,579315,579315
